mq1,tgs1,timestamp,day,session,species
212,322,2024-01-29 09:05:48.018426,2024-01-29,1,tuna
212,323,2024-01-29 09:05:49.122128,2024-01-29,1,tuna
216,323,2024-01-29 09:05:50.319354,2024-01-29,1,tuna
216,323,2024-01-29 09:05:51.520463,2024-01-29,1,tuna
212,321,2024-01-29 09:05:52.732401,2024-01-29,1,tuna
215,321,2024-01-29 09:05:53.932127,2024-01-29,1,tuna
216,325,2024-01-29 09:05:55.140222,2024-01-29,1,tuna
215,326,2024-01-29 09:05:56.339183,2024-01-29,1,tuna
216,324,2024-01-29 09:05:57.545623,2024-01-29,1,tuna
216,325,2024-01-29 09:05:58.763850,2024-01-29,1,tuna
214,324,2024-01-29 09:05:59.961200,2024-01-29,1,tuna
215,326,2024-01-29 09:06:01.162973,2024-01-29,1,tuna
216,325,2024-01-29 09:06:02.368197,2024-01-29,1,tuna
218,329,2024-01-29 09:06:03.585639,2024-01-29,1,tuna
218,327,2024-01-29 09:06:04.784105,2024-01-29,1,tuna
220,332,2024-01-29 09:06:05.995671,2024-01-29,1,tuna
215,331,2024-01-29 09:06:07.195363,2024-01-29,1,tuna
219,329,2024-01-29 09:06:08.403425,2024-01-29,1,tuna
219,330,2024-01-29 09:06:09.610559,2024-01-29,1,tuna
216,331,2024-01-29 09:06:10.810377,2024-01-29,1,tuna
220,331,2024-01-29 09:06:12.016249,2024-01-29,1,tuna
219,326,2024-01-29 09:06:47.128390,2024-01-29,1,tuna
225,328,2024-01-29 09:06:48.247079,2024-01-29,1,tuna
222,327,2024-01-29 09:06:49.430204,2024-01-29,1,tuna
212,329,2024-01-29 09:06:50.638102,2024-01-29,1,tuna
222,333,2024-01-29 09:06:51.836558,2024-01-29,1,tuna
203,334,2024-01-29 09:06:53.038517,2024-01-29,1,tuna
238,334,2024-01-29 09:06:54.252281,2024-01-29,1,tuna
224,334,2024-01-29 09:06:55.451666,2024-01-29,1,tuna
219,336,2024-01-29 09:06:56.652798,2024-01-29,1,tuna
212,336,2024-01-29 09:06:57.862909,2024-01-29,1,tuna
220,337,2024-01-29 09:06:59.073367,2024-01-29,1,tuna
223,337,2024-01-29 09:07:00.282988,2024-01-29,1,tuna
221,339,2024-01-29 09:07:01.476975,2024-01-29,1,tuna
222,341,2024-01-29 09:07:02.690106,2024-01-29,1,tuna
223,340,2024-01-29 09:07:03.889218,2024-01-29,1,tuna
217,343,2024-01-29 09:07:05.094346,2024-01-29,1,tuna
220,343,2024-01-29 09:07:06.305481,2024-01-29,1,tuna
221,343,2024-01-29 09:07:07.508588,2024-01-29,1,tuna
216,343,2024-01-29 09:07:08.721719,2024-01-29,1,tuna
219,343,2024-01-29 09:07:09.926827,2024-01-29,1,tuna
222,346,2024-01-29 09:07:11.129955,2024-01-29,1,tuna
150,280,2024-01-29 09:07:46.679805,2024-01-29,1,tuna
148,283,2024-01-29 09:07:47.798079,2024-01-29,1,tuna
149,284,2024-01-29 09:07:48.967016,2024-01-29,1,tuna
147,284,2024-01-29 09:07:50.184051,2024-01-29,1,tuna
147,285,2024-01-29 09:07:51.382933,2024-01-29,1,tuna
151,286,2024-01-29 09:07:52.592277,2024-01-29,1,tuna
146,286,2024-01-29 09:07:53.793011,2024-01-29,1,tuna
151,288,2024-01-29 09:07:55.003166,2024-01-29,1,tuna
151,289,2024-01-29 09:07:56.204792,2024-01-29,1,tuna
148,288,2024-01-29 09:07:57.417227,2024-01-29,1,tuna
153,290,2024-01-29 09:07:58.611570,2024-01-29,1,tuna
150,289,2024-01-29 09:07:59.823713,2024-01-29,1,tuna
147,289,2024-01-29 09:08:01.024835,2024-01-29,1,tuna
150,292,2024-01-29 09:08:02.240771,2024-01-29,1,tuna
149,290,2024-01-29 09:08:03.438499,2024-01-29,1,tuna
148,293,2024-01-29 09:08:04.639775,2024-01-29,1,tuna
147,290,2024-01-29 09:08:05.849770,2024-01-29,1,tuna
149,292,2024-01-29 09:08:07.054766,2024-01-29,1,tuna
148,292,2024-01-29 09:08:08.265990,2024-01-29,1,tuna
147,293,2024-01-29 09:08:09.468027,2024-01-29,1,tuna
146,291,2024-01-29 09:08:10.676553,2024-01-29,1,tuna
162,276,2024-01-29 09:08:50.106903,2024-01-29,1,tuna
159,277,2024-01-29 09:08:51.211692,2024-01-29,1,tuna
159,277,2024-01-29 09:08:52.408638,2024-01-29,1,tuna
161,277,2024-01-29 09:08:53.615415,2024-01-29,1,tuna
163,277,2024-01-29 09:08:54.830969,2024-01-29,1,tuna
162,279,2024-01-29 09:08:56.031904,2024-01-29,1,tuna
164,279,2024-01-29 09:08:57.236648,2024-01-29,1,tuna
164,280,2024-01-29 09:08:58.442951,2024-01-29,1,tuna
164,281,2024-01-29 09:08:59.653467,2024-01-29,1,tuna
163,281,2024-01-29 09:09:00.851557,2024-01-29,1,tuna
164,280,2024-01-29 09:09:02.053903,2024-01-29,1,tuna
168,283,2024-01-29 09:09:03.267142,2024-01-29,1,tuna
164,281,2024-01-29 09:09:04.465390,2024-01-29,1,tuna
163,284,2024-01-29 09:09:05.669382,2024-01-29,1,tuna
161,283,2024-01-29 09:09:06.874506,2024-01-29,1,tuna
162,284,2024-01-29 09:09:08.091631,2024-01-29,1,tuna
165,285,2024-01-29 09:09:09.289741,2024-01-29,1,tuna
164,284,2024-01-29 09:09:10.495860,2024-01-29,1,tuna
165,288,2024-01-29 09:09:11.706986,2024-01-29,1,tuna
166,287,2024-01-29 09:09:12.908100,2024-01-29,1,tuna
166,285,2024-01-29 09:09:14.111224,2024-01-29,1,tuna
177,279,2024-01-29 09:09:44.005271,2024-01-29,1,tuna
179,279,2024-01-29 09:09:45.122706,2024-01-29,1,tuna
178,281,2024-01-29 09:09:46.304034,2024-01-29,1,tuna
181,284,2024-01-29 09:09:47.515622,2024-01-29,1,tuna
179,285,2024-01-29 09:09:48.716577,2024-01-29,1,tuna
176,285,2024-01-29 09:09:49.933678,2024-01-29,1,tuna
180,286,2024-01-29 09:09:51.129429,2024-01-29,1,tuna
179,288,2024-01-29 09:09:52.334559,2024-01-29,1,tuna
182,289,2024-01-29 09:09:53.549278,2024-01-29,1,tuna
185,291,2024-01-29 09:09:54.752085,2024-01-29,1,tuna
183,292,2024-01-29 09:09:55.964184,2024-01-29,1,tuna
181,292,2024-01-29 09:09:57.167983,2024-01-29,1,tuna
182,292,2024-01-29 09:09:58.363605,2024-01-29,1,tuna
181,293,2024-01-29 09:09:59.578017,2024-01-29,1,tuna
179,295,2024-01-29 09:10:00.782211,2024-01-29,1,tuna
185,296,2024-01-29 09:10:01.978497,2024-01-29,1,tuna
185,299,2024-01-29 09:10:03.197637,2024-01-29,1,tuna
186,299,2024-01-29 09:10:04.391560,2024-01-29,1,tuna
183,300,2024-01-29 09:10:05.606659,2024-01-29,1,tuna
185,303,2024-01-29 09:10:06.815253,2024-01-29,1,tuna
182,301,2024-01-29 09:10:08.007799,2024-01-29,1,tuna
181,272,2024-01-29 09:10:33.789628,2024-01-29,1,tuna
180,269,2024-01-29 09:10:34.899415,2024-01-29,1,tuna
186,273,2024-01-29 09:10:36.081688,2024-01-29,1,tuna
188,273,2024-01-29 09:10:37.282512,2024-01-29,1,tuna
187,276,2024-01-29 09:10:38.492817,2024-01-29,1,tuna
188,272,2024-01-29 09:10:39.696357,2024-01-29,1,tuna
182,286,2024-01-29 09:10:40.897891,2024-01-29,1,tuna
188,279,2024-01-29 09:10:42.111771,2024-01-29,1,tuna
189,281,2024-01-29 09:10:43.318501,2024-01-29,1,tuna
190,279,2024-01-29 09:10:44.518681,2024-01-29,1,tuna
189,282,2024-01-29 09:10:45.730698,2024-01-29,1,tuna
184,290,2024-01-29 09:10:46.931038,2024-01-29,1,tuna
188,290,2024-01-29 09:10:48.143967,2024-01-29,1,tuna
189,289,2024-01-29 09:10:49.343771,2024-01-29,1,tuna
188,284,2024-01-29 09:10:50.553592,2024-01-29,1,tuna
192,287,2024-01-29 09:10:51.760337,2024-01-29,1,tuna
200,283,2024-01-29 09:10:52.965026,2024-01-29,1,tuna
198,284,2024-01-29 09:10:54.164591,2024-01-29,1,tuna
199,293,2024-01-29 09:10:55.373675,2024-01-29,1,tuna
201,292,2024-01-29 09:10:56.574749,2024-01-29,1,tuna
198,293,2024-01-29 09:10:57.785900,2024-01-29,1,tuna
202,274,2024-01-29 09:11:49.923034,2024-01-29,1,tuna
196,273,2024-01-29 09:11:51.040268,2024-01-29,1,tuna
197,275,2024-01-29 09:11:52.225535,2024-01-29,1,tuna
194,274,2024-01-29 09:11:53.425756,2024-01-29,1,tuna
186,275,2024-01-29 09:11:54.634267,2024-01-29,1,tuna
184,276,2024-01-29 09:11:55.850087,2024-01-29,1,tuna
184,287,2024-01-29 09:11:57.051711,2024-01-29,1,tuna
182,283,2024-01-29 09:11:58.247340,2024-01-29,1,tuna
182,284,2024-01-29 09:11:59.460499,2024-01-29,1,tuna
188,279,2024-01-29 09:12:00.660699,2024-01-29,1,tuna
183,279,2024-01-29 09:12:01.869248,2024-01-29,1,tuna
178,286,2024-01-29 09:12:03.072366,2024-01-29,1,tuna
182,285,2024-01-29 09:12:04.287133,2024-01-29,1,tuna
181,287,2024-01-29 09:12:05.491340,2024-01-29,1,tuna
178,286,2024-01-29 09:12:06.686999,2024-01-29,1,tuna
180,290,2024-01-29 09:12:07.903353,2024-01-29,1,tuna
184,296,2024-01-29 09:12:09.105148,2024-01-29,1,tuna
186,303,2024-01-29 09:12:10.315088,2024-01-29,1,tuna
180,302,2024-01-29 09:12:11.522830,2024-01-29,1,tuna
184,298,2024-01-29 09:12:12.726511,2024-01-29,1,tuna
176,302,2024-01-29 09:12:13.925648,2024-01-29,1,tuna
174,264,2024-01-29 09:12:40.842932,2024-01-29,1,tuna
179,265,2024-01-29 09:12:41.958873,2024-01-29,1,tuna
181,266,2024-01-29 09:12:43.155800,2024-01-29,1,tuna
179,266,2024-01-29 09:12:44.360703,2024-01-29,1,tuna
176,262,2024-01-29 09:12:45.561485,2024-01-29,1,tuna
179,261,2024-01-29 09:12:46.767977,2024-01-29,1,tuna
184,268,2024-01-29 09:12:47.966917,2024-01-29,1,tuna
